"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"05/21/2021","84","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","84","26","41","30"
"05/22/2021","80","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","80","27","52","31"
"05/23/2021","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","61","28","52","6"
"05/24/2021","30","PM2.5","Near Road","11-001-0051","AQS","5","27","22","30","15"
"05/25/2021","43","PM2.5","Near Road","11-001-0051","AQS","5","38","27","43","25"
"05/26/2021","74","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","74","30","58","23"
"05/27/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","49","18","40","39"
"05/28/2021","42","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","7","41","20","42","24"
"05/29/2021","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","29","7","8","10"
"05/30/2021","24","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","24","10","14","7"
"05/31/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","41","17","33","34"
"06/01/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","41","18","35","28"
"06/02/2021","45","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","45","15","45","29"
"06/03/2021","33","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","3","32","14","33","20"
"06/04/2021","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","46","14","32","25"
"06/05/2021","105","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","105","25","52","26"
"06/06/2021","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","77","19","58","24"
"06/07/2021","54","PM2.5","Near Road","11-001-0051","AQS","6","37","18","54","16"
"06/08/2021","51","PM2.5","Near Road","11-001-0051","AQS","6","49","18","51","14"
"06/09/2021","59","PM2.5","Near Road","11-001-0051","AQS","6","45","17","59","19"
"06/10/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","48","14","42","19"
"06/11/2021","28","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","26","7","28","22"
"06/12/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","44","17","37","16"
"06/13/2021","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","35","14","32","11"
"06/14/2021","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","54","16","42","20"
"06/15/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","40","13","34","11"
"06/16/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","48","16","25","18"
"06/17/2021","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","54","15","28","41"
"06/18/2021","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","77","19","44","34"
"06/19/2021","60","PM2.5","Near Road","11-001-0051","AQS","7","47","20","60","32"
"06/20/2021","58","PM2.5","Near Road","11-001-0051","AQS","9","46","19","58","24"
"06/21/2021","45","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","3","35","16","45","17"
"06/22/2021","29","PM2.5","Near Road","11-001-0051","AQS","5","27","11","29","23"
"06/23/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","44","12","26","31"
"06/24/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","48","18","40","30"
"06/25/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","44","19","27","22"
"06/26/2021","35","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","3","24","10","35","10"
"06/27/2021","43","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","21","18","43","8"
"06/28/2021","43","PM2.5","Near Road","11-001-0051","AQS","5","34","18","43","12"
"06/29/2021","43","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","39","17","43","13"
"06/30/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","45","17","40","21"
"07/01/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","41","10","30","17"
"07/02/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","36","10","32","23"
"07/03/2021","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","34","6","23","17"
"07/04/2021","153","PM2.5","Near Road","11-001-0051","AQS","7","45","44","153","25"
"07/05/2021","119","PM2.5","Near Road","11-001-0051","AQS","9","45","44","119","26"
"07/06/2021","67","PM2.5","Near Road","11-001-0051","AQS","6","61","21","67","22"
"07/07/2021","73","PM2.5","Near Road","11-001-0051","AQS","6","58","25","73","21"
"07/08/2021","57","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","31","16","57","21"
"07/09/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","40","9","35","19"
"07/10/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","38","8","35","21"
"07/11/2021","52","PM2.5","Near Road","11-001-0051","AQS","7","40","13","52","12"
"07/12/2021","51","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","38","14","51","12"
"07/13/2021","49","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","39","16","49","13"
"07/14/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","48","13","40","18"
"07/15/2021","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","77","11","61","18"
"07/16/2021","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","67","16","54","26"
"07/17/2021","57","PM2.5","Near Road","11-001-0051","AQS","6","45","17","57","20"
"07/18/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","40","8","38","19"
"07/19/2021","71","PM2.5","Near Road","11-001-0051","AQS","6","45","25","71","20"
"07/20/2021","88","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","71","32","88","24"
"07/21/2021","91","PM2.5","Near Road","11-001-0051","AQS","6","67","31","91","25"
"07/22/2021","69","PM2.5","RIVER TERRACE","11-001-0041","AQS","7","38","13","69","31"
"07/23/2021","48","PM2.5","Near Road","11-001-0051","AQS","8","42","14","48","29"
"07/24/2021","53","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","50","20","53","25"
"07/25/2021","63","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","44","19","63","14"
"07/26/2021","87","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","87","16","58","26"
"07/27/2021","101","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","101","20","61","35"
"07/28/2021","112","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","112","22","63","35"
"07/29/2021","69","PM2.5","Near Road","11-001-0051","AQS","6","61","20","69","27"
"07/30/2021","59","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","58","17","59","20"
"07/31/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","45","15","37","15"
"08/01/2021","62","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","44","14","62","10"
"08/02/2021","56","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","43","18","56","29"
"08/03/2021","51","PM2.5","Near Road","11-001-0051","AQS","8","44","17","51","29"
"08/04/2021","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","51","16","47","34"
"08/05/2021","90","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","90","19","54","32"
"08/06/2021","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","77","20","54","27"
"08/07/2021","45","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","41","11","45","21"
"08/08/2021","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","67","9","38","14"
"08/09/2021","55","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","49","16","55","17"
"08/10/2021","63","PM2.5","Near Road","11-001-0051","AQS","5","50","19","63","20"
"08/11/2021","47","PM2.5","Near Road","11-001-0051","AQS","6","44","13","47","24"
"08/12/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","49","13","47","19"
"08/13/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","49","12","46","20"
"08/14/2021","44","PM2.5","Near Road","11-001-0051","AQS","5","44","9","44","18"
"08/15/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","47","13","35","21"
"08/16/2021","44","PM2.5","Near Road","11-001-0051","AQS","6","31","11","44","27"
"08/17/2021","35","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","24","10","35","18"
"08/18/2021","32","PM2.5","Near Road","11-001-0051","AQS","5","20","10","32","10"
"08/19/2021","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","35","6","28","17"
"08/20/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","38","5","27","23"
"08/21/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","45","8","36","24"
"08/22/2021","42","PM2.5","Near Road","11-001-0051","AQS","8","40","10","42","24"
"08/23/2021","56","PM2.5","Near Road","11-001-0051","AQS","6","46","16","56","26"
"08/24/2021","74","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","74","18","57","35"
"08/25/2021","122","Ozone","Takoma Rec Center","11-001-0050","AQS","10","122","23","64","32"
"08/26/2021","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","67","20","57","35"
"08/27/2021","55","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","11","45","19","55","24"
"08/28/2021","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","58","15","54","13"
"08/29/2021","53","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","7","47","14","53","18"
"08/30/2021","46","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","7","44","13","46","22"
"08/31/2021","48","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","8","46","15","48","23"
"09/01/2021","40","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","8","35","9","40","22"
"09/02/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","36","10","25","29"
"09/03/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","42","13","26","27"
"09/04/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","43","14","34","22"
"09/05/2021","46","PM2.5","Near Road","11-001-0051","AQS","7","36","10","46","19"
"09/06/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","45","11","36","31"
"09/07/2021","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","51","16","39","24"
"09/08/2021","51","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","7","45","15","51","21"
"09/09/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","40","9","33","17"
"09/10/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","36",".","30","27"
"09/11/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","11","42",".","38","22"
"09/12/2021","43","Ozone","Takoma Rec Center","11-001-0050","AQS","7","43",".","42","15"
"09/13/2021","59","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","8","45",".","59","34"
"09/14/2021","69","PM2.5","Near Road","11-001-0051","AQS","13","64",".","69","28"
"09/15/2021","54","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","49",".","54","24"
"09/16/2021","43","PM2.5","Near Road","11-001-0051","AQS","6","30",".","43","25"
"09/17/2021","37","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","29",".","37","17"
"09/18/2021","54","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","8","42","11","54","28"
"09/19/2021","43","PM2.5","Near Road","11-001-0051","AQS","13","42","14","43","26"
"09/20/2021","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","35","13","33","23"
"09/21/2021","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","29","13","26","18"
"09/22/2021","31","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","31","8","31","22"
"09/23/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","36","6","22","11"
"09/24/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","40","11","28","33"
