OBJECTID,REPORT_DATE,WARD,LIVES_LOST,POSITIVE_CASES,TOTAL_TESTS,LOAD_TIME
177,2021/01/15 00:00:00+00,Ward 3,43,1831,99959,2023/01/07 08:00:08+00
178,2021/01/16 00:00:00+00,Ward 3,43,1853,100437,2023/01/07 08:00:08+00
179,2021/01/17 00:00:00+00,Ward 3,43,1862,100647,2023/01/07 08:00:08+00
180,2021/01/18 00:00:00+00,Ward 3,44,1881,101301,2023/01/07 08:00:08+00
181,2021/01/19 00:00:00+00,Ward 3,44,1896,102044,2023/01/07 08:00:08+00
182,2021/01/20 00:00:00+00,Ward 3,45,1909,102453,2023/01/07 08:00:08+00
183,2021/01/21 00:00:00+00,Ward 3,45,1925,102823,2023/01/07 08:00:08+00
184,2021/01/22 00:00:00+00,Ward 3,45,1937,103230,2023/01/07 08:00:08+00
185,2021/01/23 00:00:00+00,Ward 3,45,1949,103709,2023/01/07 08:00:08+00
186,2021/01/24 00:00:00+00,Ward 3,45,1961,104177,2023/01/07 08:00:08+00
187,2021/01/25 00:00:00+00,Ward 3,45,1974,104911,2023/01/07 08:00:08+00
188,2021/01/26 00:00:00+00,Ward 3,46,1982,105244,2023/01/07 08:00:08+00
189,2021/01/27 00:00:00+00,Ward 3,47,1996,105624,2023/01/07 08:00:08+00
190,2021/01/28 00:00:00+00,Ward 3,47,2010,106229,2023/01/07 08:00:08+00
191,2021/01/29 00:00:00+00,Ward 3,47,2016,106853,2023/01/07 08:00:08+00
192,2021/01/30 00:00:00+00,Ward 3,47,2032,107597,2023/01/07 08:00:08+00
193,2021/01/31 00:00:00+00,Ward 3,47,2035,108053,2023/01/07 08:00:08+00
194,2021/02/01 00:00:00+00,Ward 3,47,2043,108333,2023/01/07 08:00:08+00
195,2021/02/02 00:00:00+00,Ward 3,48,2048,108481,2023/01/07 08:00:08+00
196,2021/02/03 00:00:00+00,Ward 3,49,2056,108678,2023/01/07 08:00:08+00
197,2021/02/04 00:00:00+00,Ward 3,49,2074,109075,2023/01/07 08:00:08+00
198,2021/02/05 00:00:00+00,Ward 3,50,2092,109569,2023/01/07 08:00:08+00
199,2021/02/06 00:00:00+00,Ward 3,51,2105,110200,2023/01/07 08:00:08+00
200,2021/02/07 00:00:00+00,Ward 3,51,2113,110425,2023/01/07 08:00:08+00
201,2021/02/08 00:00:00+00,Ward 3,51,2123,111037,2023/01/07 08:00:08+00
202,2021/02/09 00:00:00+00,Ward 3,51,2126,111214,2023/01/07 08:00:08+00
203,2021/02/10 00:00:00+00,Ward 3,52,2134,111586,2023/01/07 08:00:08+00
