county,average_cases,average_deaths,geoid,state,estimate_households_with_internet,estimate_number_commuting_to_work,estimate_percent_essential_workers,estimate_mean_earnings_usd,estimate_health_insurance_coverage,estimate_families_below_poverty_line_percent,moe_households_with_internet,moe_number_commuting_to_work,moe_percent_essential_workers,moe_mean_earnings_usd,moe_health_insurance_coverage,moe_families_below_poverty_line_percent
Amelia County,1030.5,31.282967032967033,51007,Virginia,4006,6187,14.2,80117,13143,NA,295,410,4,11629,34,NA
Amherst County,3285.0384615384614,39.222527472527474,51009,Virginia,9719,14718,26.9,80232,31199,NA,415,413,2.7,7273,102,NA
Appomattox County,1782.4972527472528,25.343406593406595,51011,Virginia,4754,7386,21,69515,15981,NA,245,344,3.5,5687,27,NA
Arlington County,15775.714285714286,250.03296703296704,51013,Virginia,102306,148211,14.4,165577,230765,NA,1063,1210,0.7,3024,616,NA
Augusta County,7043.898351648351,85.37637362637362,51015,Virginia,24437,36339,24,81735,73029,NA,770,1012,1.5,3846,630,NA
Bath County,326.63186813186815,10.653846153846153,51017,Virginia,1376,1786,25.4,66041,4163,NA,150,313,7.8,14551,78,NA
Bedford County,7332.903846153846,107.56868131868131,51019,Virginia,26892,36552,25.2,88057,78807,NA,597,845,1.7,3522,126,NA
Bland County,788.9148351648352,11.387362637362637,51021,Virginia,1419,2233,17.3,68356,5317,NA,195,224,5.6,7022,355,NA
Botetourt County,2866.4752747252746,37.997252747252745,51023,Virginia,10888,15842,21.7,94828,33189,NA,410,694,2.6,5210,114,NA
Brunswick County,1421.7252747252746,23.6510989010989,51025,Virginia,4614,6124,22.9,63775,13787,NA,325,378,3.8,6120,216,NA
Buchanan County,1752.8983516483515,47.065934065934066,51027,Virginia,5252,6155,24.7,56210,19790,NA,435,607,4.3,7369,238,NA
Buckingham County,2242.4203296703295,30.63736263736264,51029,Virginia,3728,6189,20.6,68841,14884,NA,259,410,3.1,6203,256,NA
Campbell County,5258.508241758242,96.16758241758242,51031,Virginia,17386,25585,25.9,69813,55119,NA,474,694,2.4,3045,141,NA
Charles City County,533.0741758241758,15.862637362637363,51036,Virginia,1960,3233,16,91871,6809,NA,117,109,2.5,17488,10,NA
Charlotte County,952.7307692307693,19.96978021978022,51037,Virginia,3116,4571,27.8,68912,11472,NA,251,277,3.6,10105,34,NA
Chesterfield County,30129.423076923078,429.5137362637363,51041,Virginia,121122,181447,24,107275,356953,NA,1065,1813,0.8,2356,471,NA
Clarke County,1048.8626373626373,20.096153846153847,51043,Virginia,4842,7237,22.5,106577,14525,NA,250,366,4.2,9963,141,NA
Craig County,378.2912087912088,5.90934065934066,51045,Virginia,1676,1946,21.5,76837,4906,NA,200,336,7.2,11487,7,NA
Culpeper County,5089.6648351648355,65.11263736263736,51047,Virginia,15729,25297,22,99298,50653,NA,510,654,2.3,5667,216,NA
Cumberland County,532.434065934066,10.719780219780219,51049,Virginia,3004,4912,22.8,77749,9669,NA,238,326,4.3,12224,19,NA
Dickenson County,1176.1565934065934,19.175824175824175,51051,Virginia,4052,4227,27.9,63233,13798,NA,298,361,5,5742,112,NA
Dinwiddie County,2355.7554945054944,42.91483516483517,51053,Virginia,8125,12998,22.6,83899,27611,NA,458,646,4.3,6763,260,NA
Essex County,874.1401098901099,11.142857142857142,51057,Virginia,2982,4371,15.1,66598,10524,NA,220,387,4.4,6208,71,NA
Fairfax County,78373.54945054946,1064.1153846153845,51059,Virginia,389722,611449,18,163853,1132442,NA,1620,2615,0.4,1835,899,NA
Fauquier County,5243.07967032967,67.1565934065934,51061,Virginia,23099,36740,19.6,128981,72088,NA,509,792,1.5,4429,87,NA
Floyd County,1016.6620879120879,23.156593406593405,51063,Virginia,5139,7590,24.7,67583,15434,NA,323,430,3.5,6377,88,NA
Fluvanna County,1985.368131868132,19.824175824175825,51065,Virginia,8883,12986,31.7,105058,25803,NA,314,492,3.8,10823,211,NA
Franklin County,4580.865384615385,78.78296703296704,51067,Virginia,17407,23337,22.6,82975,54508,NA,616,768,2.5,5366,148,NA
