date,overall_aqi_value,main_pollutant,site_name_of_overall_aqi,site_id_of_overall_aqi,source_of_overall_aqi,co,ozone,pm25,no2
2021-06-07,54,PM2.5,Near Road,11-001-0051,AQS,6,37,54,16
2021-06-08,51,PM2.5,Near Road,11-001-0051,AQS,6,49,51,14
2021-06-09,59,PM2.5,Near Road,11-001-0051,AQS,6,45,59,19
2021-06-10,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,48,42,19
2021-06-11,28,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,26,28,22
2021-06-12,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,44,37,16
2021-06-13,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,35,32,11
2021-06-14,54,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,54,42,20
2021-06-15,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,40,34,11
2021-06-16,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,48,25,18
2021-06-17,54,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,54,28,41
2021-06-18,77,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,77,44,34
2021-06-19,60,PM2.5,Near Road,11-001-0051,AQS,7,47,60,32
2021-06-20,58,PM2.5,Near Road,11-001-0051,AQS,9,46,58,24
2021-06-21,45,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,3,35,45,17
2021-06-22,29,PM2.5,Near Road,11-001-0051,AQS,5,27,29,23
2021-06-23,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,44,26,31
2021-06-24,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,48,40,30
2021-06-25,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,44,27,22
2021-06-26,35,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,3,24,35,10
2021-06-27,43,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,21,43,8
2021-06-28,43,PM2.5,Near Road,11-001-0051,AQS,5,34,43,12
2021-06-29,43,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,39,43,13
2021-06-30,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,45,40,21
2021-07-01,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,41,30,17
2021-07-02,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,36,32,23
2021-07-03,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,34,23,17
2021-07-04,153,PM2.5,Near Road,11-001-0051,AQS,7,45,153,25
2021-07-05,119,PM2.5,Near Road,11-001-0051,AQS,9,45,119,26
2021-07-06,67,PM2.5,Near Road,11-001-0051,AQS,6,61,67,22
2021-07-07,73,PM2.5,Near Road,11-001-0051,AQS,6,58,73,21
2021-07-08,57,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,31,57,21
2021-07-09,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,40,35,19
2021-07-10,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,38,35,21
2021-07-11,52,PM2.5,Near Road,11-001-0051,AQS,7,40,52,12
2021-07-12,51,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,38,51,12
2021-07-13,49,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,39,49,13
